Timestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.F7,EQ.F3,EQ.FC5,EQ.T7,EQ.P7,EQ.O1,EQ.O2,EQ.P8,EQ.T8,EQ.FC6,EQ.F4,EQ.F8,EQ.AF4
1673442699.264975,65.000000,0.000000,4362.948730,4344.358887,4377.563965,4372.179688,4405.641113,4344.487305,4325.641113,4328.974121,4333.589844,4307.820313,4506.025879,4441.025879,4426.794922,4476.025879,0.000000,3.000000,80.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,
1673442699.272787,66.000000,0.000000,4357.436035,4344.743652,4371.410156,4369.871582,4404.615234,4339.487305,4327.307617,4322.436035,4328.974121,4301.922852,4491.666504,4434.615234,4413.333496,4474.230957,0.000000,3.000000,80.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,
1673442699.280600,67.000000,0.000000,4359.230957,4342.051270,4370.769043,4370.641113,4400.897461,4332.692383,4331.410156,4322.820313,4320.641113,4295.641113,4497.051270,4439.615234,4413.333496,4471.922852,0.000000,3.000000,80.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,1.000000,100.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000
1673442699.288412,68.000000,0.000000,4365.641113,4340.641113,4374.743652,4369.615234,4398.205078,4334.230957,4333.461426,4335.384766,4324.743652,4300.769043,4513.077148,4455.128418,4430.897461,4477.307617,0.000000,3.000000,80.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,
1673442699.296225,69.000000,0.000000,4369.230957,4344.743652,4376.410156,4367.563965,4397.179688,4338.205078,4335.000000,4346.025879,4333.974121,4313.589844,4515.641113,4463.589844,4441.538574,4482.436035,0.000000,3.000000,80.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,
1673442699.304037,70.000000,0.000000,4367.179688,4348.461426,4372.692383,4366.153809,4397.436035,4338.589844,4335.256348,4344.102539,4335.000000,4316.922852,4510.512695,4458.717773,4434.615234,4478.205078,0.000000,3.000000,80.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,
1673442699.311850,71.000000,0.000000,4361.282227,4343.974121,4366.794922,4367.179688,4398.974121,4337.948730,4329.487305,4336.666504,4331.282227,4314.102539,4508.205078,4445.769043,4430.384766,4467.948730,0.000000,3.000000,80.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,
1673442699.319662,72.000000,0.000000,4358.077148,4340.000000,4363.846191,4369.743652,4401.666504,4342.051270,4324.871582,4331.538574,4330.512695,4317.563965,4506.410156,4435.128418,4438.333496,4461.282227,0.000000,3.000000,80.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,
1673442699.327475,73.000000,0.000000,4356.538574,4339.358887,4360.128418,4363.846191,4404.871582,4345.384766,4325.641113,4324.230957,4327.692383,4317.563965,4501.666504,4430.512695,4434.743652,4457.436035,0.000000,3.000000,80.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,
1673442699.335287,74.000000,0.000000,4351.538574,4333.717773,4355.769043,4356.025879,4406.410156,4343.333496,4326.410156,4314.358887,4317.563965,4299.615234,4490.512695,4426.153809,4417.692383,4449.102539,0.000000,3.000000,80.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,
1673442699.343100,75.000000,0.000000,4347.563965,4331.410156,4358.461426,4356.538574,4403.717773,4341.282227,4327.436035,4307.948730,4307.436035,4281.153809,4480.897461,4424.358887,4409.102539,4441.282227,0.000000,3.000000,80.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,
1673442699.350912,76.000000,0.000000,4348.974121,4335.641113,4361.410156,4355.897461,4401.025879,4347.436035,4332.051270,4311.922852,4308.205078,4283.974121,4481.153809,4425.897461,4413.077148,4446.794922,0.000000,3.000000,80.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,
1673442699.358725,77.000000,0.000000,4351.025879,4335.000000,4356.922852,4351.025879,4401.282227,4351.922852,4338.333496,4324.230957,4318.846191,4295.512695,4490.384766,4430.512695,4420.256348,4456.025879,0.000000,3.000000,80.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,
1673442699.366537,78.000000,0.000000,4353.589844,4334.487305,4353.974121,4353.589844,4397.307617,4346.922852,4340.769043,4329.102539,4327.051270,4301.153809,4501.025879,4437.820313,4426.410156,4457.692383,0.000000,3.000000,80.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,
1673442699.374350,79.000000,0.000000,4357.179688,4328.717773,4358.717773,4356.153809,4392.179688,4346.794922,4342.307617,4331.922852,4328.589844,4306.666504,4508.077148,4443.974121,4432.563965,4457.307617,0.000000,3.000000,80.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,
1673442699.382162,80.000000,0.000000,4360.256348,4321.410156,4364.487305,4353.205078,4394.487305,4351.666504,4345.128418,4338.717773,4327.436035,4312.563965,4511.666504,4450.000000,4435.641113,4462.692383,0.000000,3.000000,80.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,
1673442699.389975,81.000000,0.000000,4366.282227,4338.717773,4371.538574,4364.102539,4401.666504,4347.692383,4340.000000,4333.461426,4324.230957,4306.025879,4508.333496,4450.384766,4427.563965,4470.512695,0.000000,3.000000,80.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,
1673442699.397787,82.000000,0.000000,4373.333496,4366.666504,4375.897461,4379.358887,4403.589844,4340.384766,4330.769043,4319.743652,4316.666504,4291.666504,4500.897461,4443.717773,4418.461426,4472.307617,0.000000,3.000000,80.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,
1673442699.405600,83.000000,0.000000,4379.102539,4372.436035,4378.205078,4381.666504,4403.974121,4343.205078,4331.025879,4320.256348,4314.615234,4294.230957,4502.563965,4447.692383,4427.563965,4475.512695,0.000000,3.000000,80.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,
1673442699.413412,84.000000,0.000000,4379.102539,4365.000000,4380.000000,4378.974121,4405.897461,4348.333496,4335.897461,4330.256348,4325.256348,4307.948730,4508.589844,4455.256348,4432.820313,4478.846191,0.000000,3.000000,80.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,
1673442699.421225,85.000000,0.000000,4370.128418,4361.282227,4375.256348,4378.461426,4405.128418,4348.717773,4336.153809,4332.820313,4331.282227,4306.025879,4504.358887,4446.922852,4417.948730,4468.974121,0.000000,3.000000,80.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,
1673442699.429037,86.000000,0.000000,4364.230957,4356.282227,4371.410156,4374.615234,4402.307617,4351.025879,4336.410156,4330.897461,4326.666504,4302.692383,4500.512695,4439.487305,4411.538574,4463.589844,0.000000,3.000000,80.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,
1673442699.436850,87.000000,0.000000,4367.307617,4353.077148,4372.948730,4371.666504,4400.897461,4351.922852,4338.846191,4330.256348,4324.487305,4309.871582,4505.769043,4446.282227,4416.410156,4470.769043,0.000000,3.000000,80.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,
1673442699.444662,88.000000,0.000000,4367.179688,4353.333496,4371.282227,4373.589844,4401.538574,4351.538574,4343.717773,4329.487305,4325.512695,4309.487305,4501.282227,4447.692383,4414.615234,4468.589844,0.000000,3.000000,80.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,
1673442699.452475,89.000000,0.000000,4360.128418,4352.051270,4365.641113,4370.256348,4402.051270,4352.692383,4348.205078,4332.948730,4322.692383,4305.000000,4491.410156,4442.820313,4411.666504,4458.589844,0.000000,3.000000,80.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,
1673442699.460287,90.000000,0.000000,4357.436035,4349.615234,4363.461426,4363.589844,4401.153809,4347.820313,4343.077148,4337.948730,4322.436035,4305.512695,4492.563965,4443.205078,4408.461426,4460.769043,0.000000,3.000000,80.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,
1673442699.468100,91.000000,0.000000,4358.205078,4346.282227,4360.897461,4362.820313,4399.358887,4340.128418,4333.461426,4335.000000,4322.436035,4298.717773,4494.358887,4437.820313,4399.871582,4461.410156,0.000000,3.000000,80.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,
1673442699.475912,92.000000,0.000000,4351.153809,4344.743652,4357.051270,4365.641113,4395.897461,4339.743652,4330.641113,4331.025879,4315.256348,4285.641113,4487.563965,4432.179688,4393.205078,4453.717773,0.000000,3.000000,80.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,
1673442699.483725,93.000000,0.000000,4349.615234,4341.282227,4359.358887,4361.538574,4393.846191,4339.743652,4330.384766,4333.205078,4310.384766,4286.538574,4487.563965,4437.948730,4395.256348,4454.871582,0.000000,3.000000,80.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,
