title:firstRecord, start timestamp:1673442414.034679, stop timestamp:1673442424.097179, headset type:EPOCX, headset serial:DCB36C84, headset firmware:710, channels:55, sampling rate:eeg_128, samples:1289      , version:2.1, 
Timestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.F7,EQ.F3,EQ.FC5,EQ.T7,EQ.P7,EQ.O1,EQ.O2,EQ.P8,EQ.T8,EQ.FC6,EQ.F4,EQ.F8,EQ.AF4
1673442414.034679,102.000000,0.000000,4362.179688,4342.179688,4362.563965,4361.922852,4390.897461,4340.641113,4334.743652,4333.717773,4307.948730,4294.743652,4502.307617,4445.512695,4409.615234,4473.205078,0.000000,3.000000,80.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,
1673442414.042492,103.000000,0.000000,4365.256348,4346.153809,4367.563965,4365.000000,4391.410156,4340.000000,4335.897461,4332.051270,4314.743652,4297.692383,4501.922852,4446.025879,4412.307617,4477.051270,0.000000,3.000000,80.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,
1673442414.050304,104.000000,0.000000,4361.025879,4342.563965,4365.897461,4364.358887,4388.333496,4338.717773,4339.743652,4329.487305,4316.538574,4297.051270,4490.512695,4443.461426,4405.000000,4472.436035,0.000000,3.000000,80.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,
1673442414.058117,105.000000,0.000000,4357.692383,4341.025879,4364.102539,4367.820313,4392.179688,4337.563965,4337.307617,4323.461426,4309.102539,4289.743652,4487.692383,4438.846191,4399.230957,4469.230957,0.000000,3.000000,80.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,
1673442414.065929,106.000000,0.000000,4363.846191,4345.384766,4364.102539,4372.307617,4400.512695,4340.384766,4333.205078,4321.794922,4303.717773,4280.769043,4491.282227,4435.128418,4399.102539,4472.051270,0.000000,3.000000,80.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,
1673442414.073742,107.000000,0.000000,4365.641113,4348.205078,4357.948730,4367.307617,4399.615234,4343.205078,4333.077148,4325.128418,4302.820313,4280.512695,4489.487305,4432.436035,4397.563965,4472.948730,0.000000,3.000000,80.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,
1673442414.081554,108.000000,0.000000,4358.333496,4345.641113,4352.307617,4361.538574,4395.128418,4339.358887,4329.487305,4320.897461,4303.205078,4286.153809,4485.769043,4426.794922,4395.256348,4465.897461,0.000000,3.000000,80.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,
1673442414.089367,109.000000,0.000000,4356.666504,4347.051270,4354.102539,4366.282227,4400.769043,4332.436035,4323.717773,4315.769043,4303.846191,4293.589844,4489.615234,4425.000000,4401.282227,4464.230957,0.000000,3.000000,80.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,
1673442414.097179,110.000000,0.000000,4363.205078,4355.769043,4357.436035,4371.794922,4408.205078,4334.743652,4327.820313,4321.666504,4305.769043,4299.358887,4495.128418,4432.436035,4413.717773,4473.589844,0.000000,3.000000,80.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,
1673442414.104992,111.000000,0.000000,4365.256348,4358.461426,4355.256348,4371.410156,4404.615234,4340.769043,4332.307617,4324.743652,4312.179688,4299.230957,4496.410156,4433.717773,4415.384766,4476.410156,0.000000,3.000000,80.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,
